"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"MONO","Non-Residential","     117.269990","     114.678766","     107.768973","     112.588553","     112.176868","     109.001191","     104.624595","     109.696142","     103.895052","     105.540010","     103.220056","     109.129202","     106.848820","     108.674519","     107.158338","      87.818503","      91.089757","     100.751826","     102.595539","      75.240664","      59.018998","      50.321903","      54.999755","      68.118334","      97.356463","      99.165710","      89.163471","      83.781057","      84.122684","      80.989146","      80.400407","     100.264493","      74.302017","    3111.771802"
"MONO","Residential","      96.113933","      92.060521","      92.276859","      99.033023","      84.844592","      90.485322","      84.855346","      78.964069","      87.711881","      98.897934","      93.738901","      95.721156","      94.320231","      91.006327","      92.553427","      97.771754","      83.820818","      94.848178","      92.487274","      88.218127","      86.704363","      86.207591","      91.895434","      84.916159","      88.989198","      81.892419","      81.123803","      81.678987","      85.462068","      85.942805","      81.819393","      84.602740","      85.017504","    2935.982137"
"MONO","Total","     213.383923","     206.739287","     200.045832","     211.621577","     197.021459","     199.486513","     189.479941","     188.660211","     191.606934","     204.437944","     196.958957","     204.850358","     201.169051","     199.680846","     199.711765","     185.590257","     174.910575","     195.600004","     195.082813","     163.458791","     145.723362","     136.529493","     146.895189","     153.034493","     186.345661","     181.058130","     170.287274","     165.460044","     169.584752","     166.931950","     162.219800","     184.867233","     159.319521","    6047.753940"
"MONTEREY","Non-Residential","    1778.482687","    1760.551822","    1683.023019","    1784.308597","    1798.161984","    1875.887714","    1873.675027","    1971.611817","    1918.829812","    1902.683408","    1819.768497","    1834.440443","    1830.785466","    1865.419982","    1885.255310","    1840.516042","    1827.700445","    1837.972842","    1894.047405","    1888.816809","    1873.321511","    1812.776267","    1781.465014","    1760.463201","    1595.669729","    1697.140491","    1611.846788","    1653.170323","    1469.488018","    1580.264553","    1603.946975","    1554.778845","    1514.286576","   58380.557419"
"MONTEREY","Residential","     711.986059","     720.396773","     729.719862","     686.923914","     680.435542","     682.317389","     685.770435","     681.236918","     684.526972","     722.505470","     728.632978","     732.822358","     734.004507","     731.086433","     731.151297","     741.557983","     728.509929","     715.501065","     724.956775","     707.442229","     693.572888","     684.045494","     720.999155","     724.201473","     680.139440","     654.768601","     634.604678","     623.044510","     622.894636","     622.102410","     606.054357","     630.038290","     607.814014","   22765.764834"
"MONTEREY","Total","    2490.468746","    2480.948594","    2412.742881","    2471.232510","    2478.597525","    2558.205103","    2559.445462","    2652.848734","    2603.356783","    2625.188878","    2548.401475","    2567.262801","    2564.789973","    2596.506415","    2616.406607","    2582.074024","    2556.210373","    2553.473907","    2619.004180","    2596.259037","    2566.894399","    2496.821761","    2502.464169","    2484.664673","    2275.809169","    2351.909092","    2246.451466","    2276.214833","    2092.382654","    2202.366963","    2210.001332","    2184.817134","    2122.100590","   81146.322243"
"NAPA","Non-Residential","     642.935559","     623.599275","     625.736941","     665.453551","     659.997026","     675.567332","     680.296010","     673.555809","     666.509350","     663.850929","     649.652493","     642.000915","     630.027520","     629.290102","     646.426033","     620.315130","     594.411670","     569.167967","     574.440186","     563.229801","     559.301911","     541.224467","     589.358139","     576.716506","     527.441223","     515.717545","     480.144727","     401.261090","     384.693533","     387.326098","     387.659338","     355.518889","     341.002758","   18743.829823"
"NAPA","Residential","     386.178414","     371.761675","     392.844965","     365.542934","     358.089641","     368.715603","     359.896851","     361.215807","     363.712067","     374.170386","     373.609098","     374.103130","     375.907805","     381.168132","     378.772699","     377.477756","     386.526257","     370.125911","     363.197139","     354.810444","     340.491959","     325.803771","     349.180530","     345.187438","     334.236827","     324.287125","     316.360516","     305.372795","     296.203358","     305.106743","     297.002241","     291.156241","     290.617800","   11558.834058"
"NAPA","Total","    1029.113973","     995.360950","    1018.581906","    1030.996486","    1018.086667","    1044.282935","    1040.192862","    1034.771616","    1030.221416","    1038.021316","    1023.261591","    1016.104044","    1005.935324","    1010.458234","    1025.198733","     997.792886","     980.937927","     939.293878","     937.637325","     918.040244","     899.793870","     867.028238","     938.538669","     921.903943","     861.678050","     840.004670","     796.505243","     706.633885","     680.896891","     692.432841","     684.661579","     646.675129","     631.620557","   30302.663878"
"NEVADA","Non-Residential","     259.792098","     254.413558","     248.292451","     262.952532","     268.528160","     270.855398","     226.734507","     220.997782","     226.396739","     235.103844","     234.703987","     232.305476","     229.820175","     235.447769","     245.868688","     240.902492","     237.570489","     229.117461","     226.654035","     216.464005","     232.927498","     217.900623","     210.448691","     199.588985","     190.428399","     187.668006","     183.238258","     180.879104","     184.183506","     174.501724","     169.326351","     177.976796","     168.095680","    7280.085267"
